DIA_TRANSPORTE,DIA_SEMANA,NOMBRE_EMPRESA,LINEA,AMBA,TIPO_TRANSPORTE,JURISDICCION,PROVINCIA,MUNICIPIO,CANTIDAD,DATO_PRELIMINAR
2022-01-07,Friday,SOFSE - San Martin,FFCC_SANM,SI,TREN,NACIONAL,JN,SD,68144,NO
2022-01-07,Friday,SOFSE - Mitre,FFCC_SUAREZ,SI,TREN,NACIONAL,JN,SD,33682,NO
2022-01-07,Friday,SOFSE- TREN DE LA COSTA,FFCC_TREN_COSTA,SI,TREN,NACIONAL,JN,SD,1880,NO
2022-01-08,Saturday,SOFSE - Mitre,FCC MITRE_TIGRE,SI,TREN,NACIONAL,JN,SD,30774,NO
2022-01-08,Saturday,SOFSE - Roca,FFCC ROCA,SI,TREN,NACIONAL,JN,SD,170710,NO
2022-01-08,Saturday,SOFSE- SARMIENTO,FFCC SAR  MERLO - LOBOS,SI,TREN,NACIONAL,JN,SD,458,NO
2022-01-08,Saturday,SOFSE- SARMIENTO,FFCC SAR MORENO - MERCEDES,SI,TREN,NACIONAL,JN,SD,27,NO
2022-01-08,Saturday,SOFSE- SARMIENTO,FFCC SAR,SI,TREN,NACIONAL,JN,SD,51551,NO
2022-01-08,Saturday,METROVIAS S.A. (URQUIZA),FFCC URQUIZA,SI,TREN,NACIONAL,JN,SD,20029,NO
2022-01-08,Saturday,SOFSE - Belgrano Sur,FFCC_BELG_SUR,SI,TREN,NACIONAL,JN,SD,26965,NO
2022-01-08,Saturday,FERROVIAS S.A.,FFCC_BELGRANO_NORTE,SI,TREN,NACIONAL,JN,SD,31444,NO
2022-01-08,Saturday,SOFSE - Mitre,FFCC_MITRE,SI,TREN,NACIONAL,JN,SD,332,NO
2022-01-08,Saturday,SOFSE - Mitre,FFCC_MITRE_ZARATE,SI,TREN,NACIONAL,JN,SD,159,NO
2022-01-08,Saturday,SOFSE - Roca,FFCC_ROCA_CAÑUELAS-LOBOS,SI,TREN,NACIONAL,JN,SD,33,NO
2022-01-08,Saturday,SOFSE - Roca,FFCC_ROCA_CAÑUELAS-MONTE,SI,TREN,NACIONAL,JN,SD,64,NO
2022-01-08,Saturday,SOFSE - Roca,FFCC_ROCA_KORN-CHASCOMUS,SI,TREN,NACIONAL,JN,SD,1297,NO
2022-01-08,Saturday,SOFSE - Roca,FFCC_ROCA_UNIVERSITARIO,SI,TREN,NACIONAL,JN,SD,54,NO
2022-01-08,Saturday,SOFSE - San Martin,FFCC_SANM,SI,TREN,NACIONAL,JN,SD,35949,NO
2022-01-08,Saturday,SOFSE - Mitre,FFCC_SUAREZ,SI,TREN,NACIONAL,JN,SD,13855,NO
2022-01-08,Saturday,SOFSE- TREN DE LA COSTA,FFCC_TREN_COSTA,SI,TREN,NACIONAL,JN,SD,2620,NO
2022-01-09,Sunday,SOFSE - Mitre,FCC MITRE_TIGRE,SI,TREN,NACIONAL,JN,SD,27838,NO
2022-01-09,Sunday,SOFSE - Roca,FFCC ROCA,SI,TREN,NACIONAL,JN,SD,64391,NO
2022-01-09,Sunday,SOFSE- SARMIENTO,FFCC SAR  MERLO - LOBOS,SI,TREN,NACIONAL,JN,SD,183,NO
2022-01-09,Sunday,SOFSE- SARMIENTO,FFCC SAR MORENO - MERCEDES,SI,TREN,NACIONAL,JN,SD,28,NO
2022-01-09,Sunday,SOFSE- SARMIENTO,FFCC SAR,SI,TREN,NACIONAL,JN,SD,17055,NO
2022-01-09,Sunday,SOFSE - TREN DEL VALLE,FFCC TREN DEL VALLE,NO,TREN,NACIONAL,JN,SD,1,NO
2022-01-09,Sunday,METROVIAS S.A. (URQUIZA),FFCC URQUIZA,SI,TREN,NACIONAL,JN,SD,9034,NO
2022-01-09,Sunday,SOFSE - Belgrano Sur,FFCC_BELG_SUR,SI,TREN,NACIONAL,JN,SD,9444,NO
2022-01-09,Sunday,FERROVIAS S.A.,FFCC_BELGRANO_NORTE,SI,TREN,NACIONAL,JN,SD,16158,NO
2022-01-09,Sunday,SOFSE - Mitre,FFCC_MITRE,SI,TREN,NACIONAL,JN,SD,138,NO
2022-01-09,Sunday,SOFSE - Mitre,FFCC_MITRE_ZARATE,SI,TREN,NACIONAL,JN,SD,143,NO
2022-01-09,Sunday,SOFSE - Roca,FFCC_ROCA_CAÑUELAS-LOBOS,SI,TREN,NACIONAL,JN,SD,29,NO
2022-01-09,Sunday,SOFSE - Roca,FFCC_ROCA_CAÑUELAS-MONTE,SI,TREN,NACIONAL,JN,SD,117,NO
2022-01-09,Sunday,SOFSE - Roca,FFCC_ROCA_KORN-CHASCOMUS,SI,TREN,NACIONAL,JN,SD,1289,NO
2022-01-09,Sunday,SOFSE - San Martin,FFCC_SANM,SI,TREN,NACIONAL,JN,SD,6550,NO
2022-01-09,Sunday,SOFSE - Mitre,FFCC_SUAREZ,SI,TREN,NACIONAL,JN,SD,8516,NO
2022-01-09,Sunday,SOFSE- TREN DE LA COSTA,FFCC_TREN_COSTA,SI,TREN,NACIONAL,JN,SD,3413,NO
2022-01-10,Monday,SOFSE - Mitre,FCC MITRE_TIGRE,SI,TREN,NACIONAL,JN,SD,46109,NO
2022-01-10,Monday,SOFSE - Roca,FFCC ROCA,SI,TREN,NACIONAL,JN,SD,267930,NO
2022-01-10,Monday,SOFSE- SARMIENTO,FFCC SAR  MERLO - LOBOS,SI,TREN,NACIONAL,JN,SD,1306,NO
2022-01-10,Monday,SOFSE- SARMIENTO,FFCC SAR MORENO - MERCEDES,SI,TREN,NACIONAL,JN,SD,22,NO
2022-01-10,Monday,SOFSE- SARMIENTO,FFCC SAR,SI,TREN,NACIONAL,JN,SD,73760,NO
2022-01-10,Monday,SOFSE - TREN DEL VALLE,FFCC TREN DEL VALLE,NO,TREN,NACIONAL,JN,SD,403,NO
2022-01-10,Monday,METROVIAS S.A. (URQUIZA),FFCC URQUIZA,SI,TREN,NACIONAL,JN,SD,35364,NO
2022-01-10,Monday,SOFSE - Belgrano Sur,FFCC_BELG_SUR,SI,TREN,NACIONAL,JN,SD,35972,NO
2022-01-10,Monday,FERROVIAS S.A.,FFCC_BELGRANO_NORTE,SI,TREN,NACIONAL,JN,SD,53278,NO
2022-01-10,Monday,SOFSE - Mitre,FFCC_MITRE,SI,TREN,NACIONAL,JN,SD,250,NO
2022-01-10,Monday,SOFSE - Mitre,FFCC_MITRE_ZARATE,SI,TREN,NACIONAL,JN,SD,262,NO
2022-01-10,Monday,SOFSE - Roca,FFCC_ROCA_CAÑUELAS-LOBOS,SI,TREN,NACIONAL,JN,SD,75,NO
2022-01-10,Monday,SOFSE - Roca,FFCC_ROCA_CAÑUELAS-MONTE,SI,TREN,NACIONAL,JN,SD,108,NO
2022-01-10,Monday,SOFSE - Roca,FFCC_ROCA_KORN-CHASCOMUS,SI,TREN,NACIONAL,JN,SD,613,NO
2022-01-10,Monday,SOFSE - Roca,FFCC_ROCA_UNIVERSITARIO,SI,TREN,NACIONAL,JN,SD,37,NO
2022-01-10,Monday,SOFSE - San Martin,FFCC_SANM,SI,TREN,NACIONAL,JN,SD,58934,NO
2022-01-10,Monday,SOFSE - Mitre,FFCC_SUAREZ,SI,TREN,NACIONAL,JN,SD,30603,NO
2022-01-10,Monday,SOFSE- TREN DE LA COSTA,FFCC_TREN_COSTA,SI,TREN,NACIONAL,JN,SD,1373,NO
2022-01-11,Tuesday,SOFSE - Mitre,FCC MITRE_TIGRE,SI,TREN,NACIONAL,JN,SD,39189,NO
2022-01-11,Tuesday,SOFSE - Roca,FFCC ROCA,SI,TREN,NACIONAL,JN,SD,238729,NO
2022-01-11,Tuesday,SOFSE- SARMIENTO,FFCC SAR  MERLO - LOBOS,SI,TREN,NACIONAL,JN,SD,762,NO
2022-01-11,Tuesday,SOFSE- SARMIENTO,FFCC SAR MORENO - MERCEDES,SI,TREN,NACIONAL,JN,SD,22,NO
2022-01-11,Tuesday,SOFSE- SARMIENTO,FFCC SAR,SI,TREN,NACIONAL,JN,SD,61864,NO
2022-01-11,Tuesday,SOFSE - TREN DEL VALLE,FFCC TREN DEL VALLE,NO,TREN,NACIONAL,JN,SD,217,NO
2022-01-11,Tuesday,METROVIAS S.A. (URQUIZA),FFCC URQUIZA,SI,TREN,NACIONAL,JN,SD,31900,NO
2022-01-11,Tuesday,SOFSE - Belgrano Sur,FFCC_BELG_SUR,SI,TREN,NACIONAL,JN,SD,32841,NO
2022-01-11,Tuesday,FERROVIAS S.A.,FFCC_BELGRANO_NORTE,SI,TREN,NACIONAL,JN,SD,39790,NO
2022-01-11,Tuesday,SOFSE - Mitre,FFCC_MITRE,SI,TREN,NACIONAL,JN,SD,262,NO
2022-01-11,Tuesday,SOFSE - Mitre,FFCC_MITRE_ZARATE,SI,TREN,NACIONAL,JN,SD,136,NO
2022-01-11,Tuesday,SOFSE - Roca,FFCC_ROCA_CAÑUELAS-LOBOS,SI,TREN,NACIONAL,JN,SD,17,NO
2022-01-11,Tuesday,SOFSE - Roca,FFCC_ROCA_CAÑUELAS-MONTE,SI,TREN,NACIONAL,JN,SD,36,NO
2022-01-11,Tuesday,SOFSE - Roca,FFCC_ROCA_KORN-CHASCOMUS,SI,TREN,NACIONAL,JN,SD,566,NO
2022-01-11,Tuesday,SOFSE - Roca,FFCC_ROCA_UNIVERSITARIO,SI,TREN,NACIONAL,JN,SD,99,NO
2022-01-11,Tuesday,SOFSE - San Martin,FFCC_SANM,SI,TREN,NACIONAL,JN,SD,51480,NO
2022-01-11,Tuesday,SOFSE - Mitre,FFCC_SUAREZ,SI,TREN,NACIONAL,JN,SD,21164,NO
2022-01-11,Tuesday,SOFSE- TREN DE LA COSTA,FFCC_TREN_COSTA,SI,TREN,NACIONAL,JN,SD,918,NO
2022-01-12,Wednesday,SOFSE - Mitre,FCC MITRE_TIGRE,SI,TREN,NACIONAL,JN,SD,46658,NO
2022-01-12,Wednesday,SOFSE - Roca,FFCC ROCA,SI,TREN,NACIONAL,JN,SD,254828,NO
2022-01-12,Wednesday,SOFSE- SARMIENTO,FFCC SAR  MERLO - LOBOS,SI,TREN,NACIONAL,JN,SD,1021,NO
